n,Jc,nu,alpha,eta,delta,beta,gamma
0.745,0.0035912227630615235,0.12810697368350393,1.8718930263164961,2.2527165618166736,0.5965303413085121,0.08024086380876908,-0.032374753934034196
0.75,0.006399810791015625,0.120106385262186,1.879893614737814,2.245535058455893,0.6057356125161408,0.0747983567942314,-0.029490328326276828
0.7633333333333333,0.013721588134765626,0.11106473609257705,1.888935263907423,2.226710523585356,0.6303764918837734,0.0681221402819973,-0.025179544471417546
0.7766666666666666,0.020860321044921876,0.10674594490349006,1.89325405509651,2.2082498382032814,0.6552867931470899,0.06448788532924912,-0.02222982575500819
0.79,0.028182098388671875,0.10388991582252026,1.8961100841774798,2.1891403325249956,0.681887280497199,0.06176984452359277,-0.019649773224665285
0.8033333333333333,0.035320831298828126,0.10189290421259971,1.8981070957874002,2.1704435318293513,0.7087539429382711,0.0596299453374725,-0.017366986462345288
0.8166666666666667,0.04245956420898438,0.10035149872590812,1.8996485012740918,2.151648465021926,0.7366410504110926,0.05778482473517093,-0.015218150744433738
0.83,0.04959829711914063,0.09911126026564,1.90088873973436,2.132763491109911,0.7655936262920585,0.056134808593404695,-0.013158356921169387
0.8433333333333333,0.05673703002929688,0.09808384094944803,1.901916159050552,2.113797935757556,0.7956578440232869,0.05462278979033382,-0.011161738631219609
0.8566666666666667,0.06387576293945313,0.09721421669059284,1.902785783309407,2.0947621277851813,0.8268808805491016,0.05321322135758155,-0.009212226024570266
0.87,0.07101449584960938,0.09646592437975966,1.9035340756202404,2.0756674266687405,0.8593107408614635,0.051882626319398696,-0.0072993282590377295
0.8785714285714286,0.07559060668945312,0.09603873595617217,1.903961264043828,2.06341421504862,0.8807346861623045,0.05106447850554725,-0.006090221054922346
0.8833333333333333,0.07797018432617188,0.09583944656778125,1.9041605534322188,2.057194950678607,0.8917986684633825,0.05066048949364524,-0.005481532419509231
0.8966666666666666,0.08510891723632813,0.09526298978721334,1.9047370102127867,2.0380393137138233,0.9267093004835647,0.04944336427052295,-0.0036237387538325533
0.9099999999999999,0.09224765014648438,0.09475098942262772,1.9052490105773723,2.018864884941026,0.9629688190851373,0.048269227968066986,-0.001787466513506244
0.9233333333333333,0.09920333862304688,0.09431409311004511,1.905685906889955,2.0004094981362988,0.9991813389675694,0.04717635727770019,-3.862144535527103e-05
0.9366666666666666,0.10634207153320313,0.09390091078525716,1.906099089214743,1.9812623575478006,1.038190892187132,0.04607071454651356,0.001759481692230027
0.9571428571428572,0.11714169311523437,0.09335827011130829,1.9066417298886917,1.9526052412658519,1.099505559451192,0.0444667887117727,0.0044246926877628875
1.0357142857142856,0.15869277954101563,0.09185257184358804,1.908147428156412,1.844391674967076,1.3685690649164477,0.03877977349452049,0.01429302485454706
1.1142857142857143,0.2006099548339844,0.09092163157443245,1.9090783684255674,1.7408355098392907,1.6996546108242836,0.03367898664143241,0.023563658291567636
1.1928571428571428,0.24380844116210937,0.09029339339924555,1.9097066066007544,1.6410192980936598,2.120030872624023,0.02893990382963954,0.03241358573996648
1.2714285714285714,0.2884712829589844,0.08987148460096542,1.9101285153990346,1.5474429976558723,2.653348400772163,0.024599757466868037,0.04067196966722934
1.35,0.33514761352539063,0.08958617650448471,1.9104138234955153,1.4608535312382098,3.3397736253131223,0.02064305289611066,0.04830007071226339
1.4285714285714284,0.3847526550292969,0.08938014281219958,1.9106198571878004,1.3806107628793785,4.254712149676733,0.01700952217100954,0.0553610984701805
1.5071428571428571,0.4382016296386719,0.0892206773295143,1.9107793226704857,1.3069902290900077,5.514865329520347,0.013694938086476628,0.06183080115656105
1.5857142857142856,0.4965928039550781,0.08908651163218527,1.9109134883678147,1.2406359781656633,7.311309120297553,0.010718709933988822,0.06764909176420762
1.6642857142857141,0.5619396667480469,0.08894304843797188,1.9110569515620281,1.1810943082062715,10.04396940914313,0.008053539913315706,0.07283596861134047
1.7428571428571427,0.6375370178222656,0.0887489414450693,1.9112510585549307,1.1281516799110376,14.606506300880271,0.00568666296825597,0.07737561550855736
1.8,0.7025177917480468,0.08853602130189017,1.9114639786981098,1.0936114989042813,20.364896657033764,0.00414399483054566,0.08024803164079886
1.8133333333333335,0.7193578796386719,0.08847375941038099,1.911526240589619,1.086081956464278,22.233672678315013,0.0038079971528977145,0.08085776510458556
1.8266666666666667,0.7371131896972656,0.08840246223775534,1.9115975377622447,1.0786610831077321,24.425533452938264,0.003476916714506112,0.08144862880874312
1.8214285714285712,0.7299744567871094,0.08843274648507356,1.9115672535149264,1.081601587169921,23.50932720016036,0.003608126235488625,0.08121649401409631
1.84,0.7557837219238281,0.08832397448359113,1.911676025516409,1.07145706720267,26.988834111082443,0.00315568609014044,0.08201260230331024
1.8533333333333333,0.7753694763183594,0.08824008781595905,1.911759912184041,1.0645577369280321,29.980020291441846,0.0028482901878645684,0.08254350744022991
1.8666666666666667,0.7964195861816407,0.0881409622571754,1.9118590377428246,1.0577185839484708,33.65088474425379,0.002543685764669889,0.08305359072783562
1.8800000000000001,0.8189340515136718,0.08802982092686404,1.911970179073136,1.0511029664200338,38.13667131495414,0.002249292491393559,0.08353123594407692
1.8933333333333333,0.8432789611816406,0.08790282503360866,1.9120971749663913,1.0446827665567109,43.75998587647033,0.0019638707053260688,0.08397508362295653
1.9,0.8562751159667968,0.08783213165481549,1.9121678683451846,1.0415442696499195,47.14141677909781,0.0018244608806974435,0.0841832098934206
1.9066666666666667,0.8700034484863282,0.0877542147551691,1.912245785244831,1.0384212195579425,51.05456836121057,0.0016858119761215963,0.08438259080292591
